dealer_id,model,region,total_sales,average_sales,average_inventory,number_of_months
D042,i5,West,2657,45.03389830508475,116.47457627118644,59
D090,iX3,Central,1598,27.084745762711865,50.067796610169495,59
D015,i5,West,1935,32.79661016949152,78.44067796610169,59
D070,X1,East,2720,46.101694915254235,112.10169491525424,59
D074,i4,North,1760,29.83050847457627,47.3728813559322,59
D019,iX1,Central,1125,19.06779661016949,39.559322033898304,59
D004,iX1,East,1118,18.949152542372882,39.644067796610166,59
D133,X7,North,1514,25.661016949152543,50.96610169491525,59
D138,4 Series,North,1277,21.64406779661017,62.271186440677965,59
D126,i5,East,2087,35.3728813559322,74.83050847457628,59
D209,i7,South,731,12.389830508474576,37.152542372881356,59
D223,i4,West,2181,36.96610169491525,98.69491525423729,59
D130,X1,West,2361,40.016949152542374,90.8135593220339,59
D123,5 Series,West,2425,41.101694915254235,64.47457627118644,59
D167,iX,South,1139,19.305084745762713,40.28813559322034,59
D239,4 Series,South,1135,19.23728813559322,57.71186440677966,59
D033,3 Series,North,2027,34.355932203389834,91.16949152542372,59
D058,iX3,North,1544,26.16949152542373,65.40677966101696,59
D074,X5,North,2397,40.6271186440678,91.69491525423729,59
D062,7 Series,West,1046,17.728813559322035,24.694915254237287,59
D108,4 Series,West,2254,38.20338983050848,82.16949152542372,59
D023,X5,North,2224,37.69491525423729,55.96610169491525,59
D010,i4,North,1755,29.74576271186441,113.33898305084746,59
D053,X1,South,2227,37.74576271186441,91.62711864406779,59
D115,i4,East,999,16.93220338983051,38.847457627118644,59
D134,7 Series,East,662,11.220338983050848,18.0,59
D142,iX,South,1587,26.89830508474576,48.03389830508475,59
D197,2 Series,South,2003,33.94915254237288,85.57627118644068,59
D221,X3,North,2412,40.88135593220339,113.69491525423729,59
D154,iX1,South,1889,32.016949152542374,66.27118644067797,59
D216,iX,South,1650,27.966101694915253,40.42372881355932,59
D200,5 Series,Central,1512,25.627118644067796,50.08474576271186,59
D204,7 Series,West,850,14.40677966101695,17.8135593220339,59
D152,iX,South,1153,19.54237288135593,36.25423728813559,59
D137,iX1,West,3103,52.59322033898305,104.94915254237289,59
D243,7 Series,North,597,10.11864406779661,13.94915254237288,59
D241,iX3,North,1876,31.796610169491526,62.16949152542373,59
D025,i7,West,638,10.813559322033898,16.47457627118644,59
D042,7 Series,West,1088,18.440677966101696,28.864406779661017,59
D064,iX,Central,1230,20.847457627118644,43.16949152542373,59
D105,X5,West,2495,42.28813559322034,67.05084745762711,59
D037,iX,Central,1229,20.83050847457627,44.74576271186441,59
D100,X1,North,2432,41.220338983050844,135.33898305084745,59
D102,7 Series,North,545,9.23728813559322,11.101694915254237,59
D021,4 Series,East,1324,22.440677966101696,41.813559322033896,59
D123,iX3,West,2616,44.33898305084746,106.59322033898304,59
D173,iX1,West,2248,38.101694915254235,51.25423728813559,59
D211,iX1,South,2279,38.6271186440678,94.27118644067797,59
D236,i5,West,1781,30.1864406779661,66.30508474576271,59
D150,i5,North,1177,19.949152542372882,78.50847457627118,59
D153,i5,Central,1561,26.45762711864407,52.813559322033896,59
D174,i7,West,1015,17.203389830508474,28.10169491525424,59
D207,i5,West,2092,35.45762711864407,95.8135593220339,59
D147,i7,North,546,9.254237288135593,12.94915254237288,59
D153,X1,Central,1833,31.06779661016949,72.89830508474576,59
D245,i5,West,2561,43.40677966101695,87.30508474576271,59
D046,i7,Central,572,9.694915254237289,17.406779661016948,59
D077,4 Series,South,1512,25.627118644067796,62.88135593220339,59
D066,i5,South,2228,37.76271186440678,85.11864406779661,59
D100,7 Series,North,917,15.542372881355933,25.52542372881356,59
D048,2 Series,Central,1181,20.016949152542374,44.66101694915254,59
D073,2 Series,East,1105,18.728813559322035,42.79661016949152,59
D160,i4,West,2111,35.779661016949156,74.89830508474576,59
D156,5 Series,West,1825,30.93220338983051,75.05084745762711,59
D192,i4,West,1307,22.152542372881356,55.88135593220339,59
D002,iX,West,1195,20.25423728813559,32.25423728813559,59
D018,7 Series,North,592,10.033898305084746,13.491525423728813,59
D022,4 Series,South,1429,24.220338983050848,67.44067796610169,59
D059,2 Series,West,1154,19.559322033898304,38.54237288135593,59
D068,X7,South,1240,21.016949152542374,26.52542372881356,59
D040,i7,West,890,15.084745762711865,19.52542372881356,59
D046,iX,Central,1278,21.661016949152543,53.88135593220339,59
